,Frequency
TGFB1,49
BMP4,41
BMP2,38
TGFB2,35
SOX9,34
DAB2IP,33
CX3CL1,32
CCL3,30
SFRP1,30
CCL19,29
PPARG,26
NRG1,25
GATA3,23
SFRP2,23
MEF2C,23
CXCL8,20
FGFR2,20
CCL24,19
AGT,19
EGFR,19
IL18,18
EDN1,18
SPHK1,18
ANXA1,18
SLC9A3R1,17
CDH13,17
CCL20,16
CCL4,16
AIF1,16
BMP6,16
TBX1,16
CAV1,16
NOD2,16
STAT1,16
CYP27B1,15
CASP1,15
SEMA5A,15
WNT11,15
SPHK2,15
CCL13,15
CCL8,15
CXCL10,15
CD86,15
S100A9,15
SNAI2,14
F2RL1,14
INSR,14
SNCA,14
DAB2,14
SLIT2,14
OSM,14
S100A8,14
ZNF703,14
ADRA2A,14
IL15,13
EPHB2,13
CXCL1,13
TLR2,13
SIRPA,13
FRZB,13
ERBB2,13
GCNT2,13
GSTP1,12
HBEGF,12
PTN,12
DLL1,12
LILRB2,12
PROX1,12
SOX4,12
CEBPA,12
SEMA6A,12
TEK,12
S100A12,12
CCR7,12
PLA2G2A,11
PDGFD,11
IRAK1,11
MYC,11
CEBPB,11
DKK1,11
TIAM1,11
SFRP4,11
CXCL11,11
CXCL9,11
SMAD6,11
CTSH,11
CD274,10
PRKD1,10
TNXB,10
GPLD1,10
CLDN3,10
CXCL6,10
CXCL12,10
CCNA2,10
ERBB3,10
SOX17,10
AXIN2,10
ALOX5,10
PML,10
TBX5,10
CXCL3,10
ACER2,9
PDCD1LG2,9
CLDN5,9
CLDN1,9
PLAU,9
DACT3,9
MINAR1,9
TGFBR3,9
SPRY1,8
TLR6,8
APLN,8
AIM2,8
BST2,8
IL33,8
HMOX1,8
GBP1,8
GBP5,8
WNT5B,8
MEFV,8
HCK,8
MST1R,8
ALOX15B,8
TFAP2A,8
MYOCD,8
PTHLH,8
IGFBP6,8
PLPP1,8
CSF1,8
IFI35,8
BAMBI,8
MMRN2,8
DCN,7
NKD1,7
SPTLC3,7
CR1,7
SEMA3G,7
SCIN,7
PDE3B,7
DUOX2,7
CDK6,7
ID2,7
GSDME,7
FPR2,7
GPC3,7
CDKN2A,7
MESP1,7
LAMC2,7
FGF7,7
TESC,7
FBLN1,7
TBX3,7
CARD16,7
PLA2G5,7
LILRA2,7
IFITM1,7
RIPOR2,7
DAAM2,7
IL12RB1,6
NR4A3,6
GDF9,6
SORL1,6
ENO1,6
FCER1G,6
OSGIN1,6
JAG1,6
SGPP2,6
SPTSSB,6
PLCE1,6
SULF2,6
GDF15,6
PDE2A,6
CDH3,6
SELE,6
FOXA1,6
OCLN,6
SPINK5,6
PTGIS,6
PTPRM,6
CXADR,6
HPSE,6
TMEM119,6
ACVR2B,6
SEMA4G,6
IL12RB2,6
SEMA4B,6
OSMR,6
FZD4,6
SEMA5B,6
TNC,6
CLCF1,6
MYLK,6
IRF1,6
VEGFC,6
ALDH1A2,6
RHOD,6
SEMA3D,6
SEMA3B,6
CHRD,6
KANK2,6
HGF,6
SASH1,6
E2F7,5
GAPDH,5
SLC7A1,5
NKD2,5
BST1,5
FOSL1,5
F12,5
GHR,5
TSPYL5,5
ADAMTS7,5
SGK1,5
SLC7A5,5
ASAH1,5
KRT16,5
TMEM64,5
SIX1,5
PRKCQ,5
NAMPT,5
IL1R1,5
PGK1,5
IFI16,5
SOX7,5
FOXM1,5
PRKN,5
MNDA,5
PTGFR,5
DPP4,5
CD300A,5
CD24,5
CASP4,5
TPD52L1,5
AVPR1A,5
ATOH8,5
FHL1,5
GATA2,5
GAREM1,5
F10,5
CD14,5
ADAMTS1,4
EPHA3,4
FZD5,4
CAMK2N1,4
VTCN1,4
NKG7,4
YJEFN3,4
MSN,4
PMAIP1,4
PLA2G2F,4
AKAP6,4
ZBTB16,4
AMOT,4
RSPO3,4
NR2F2,4
KRT6A,4
ATP1B2,4
NRARP,4
AREG,4
LMO3,4
WNT10B,4
SULT2B1,4
SLC6A1,4
LAMA2,4
FAM107A,4
ST3GAL4,4
APOD,4
SELP,4
NR4A1,4
DAPK1,4
SMIM22,4
PODN,4
FBP1,4
FOXF1,4
DCBLD2,4
KITLG,4
MELTF,4
WARS1,4
WFDC1,4
S100B,4
ITGA6,4
DEGS2,4
CDH11,4
ESR2,4
DHRS2,4
CDA,4
PCSK9,4
HAND2,4
KAT2B,4
AQP1,4
EIF2AK3,4
NEK10,4
RBPMS2,4
NCK1,4
TP53INP1,4
TSPYL2,4
SHISA2,4
DUSP7,3
IFIT3,3
TAGLN,3
FZD10,3
DIRAS1,3
MAPT,3
CDKN3,3
TNFSF10,3
UCHL1,3
CDC25B,3
SPP1,3
TMEM250,3
NR3C1,3
KRT17,3
EPB41L4B,3
PALM3,3
ARRB1,3
RBPMS,3
SLC2A10,3
CAV2,3
FABP6,3
SLC44A4,3
FABP3,3
MDFI,3
TRABD2B,3
NXN,3
RPS6KA1,3
WNT6,3
ADAMTS9,3
PTPRR,3
GFI1,3
CES1,3
ARHGEF5,3
GPC1,3
KRT14,3
ADRA2C,3
KRT15,3
LAMA1,3
PSCA,3
SLC22A3,3
TJP3,3
HAVCR2,3
ELOVL4,3
ORMDL3,3
KYNU,3
HMGA1,3
GBP4,3
TMSB15A,3
GBP6,3
LARGE1,3
ZBTB7C,3
TP63,3
TBX2,3
BIRC3,3
DDAH1,3
MMP7,3
TREM1,3
HLA-A,3
PARD6B,3
ISM1,3
PPM1L,3
SH3RF2,3
CARMIL2,3
CDCA7L,3
ELN,3
BTG2,3
SGPL1,3
STAT4,3
GDF7,3
TGFBI,3
ELOVL6,3
PLAAT4,3
RND1,3
MDM2,3
SPNS2,3
ADAM22,3
CD70,3
MMP9,3
TMEM88,3
ALAS1,3
SLC29A4,3
ABCC1,3
ABCC2,3
L1CAM,3
ABCB1,3
CD44,3
ATP1B1,3
SGK2,3
PRNP,3
NLRP2,3
BNIPL,3
JAM3,3
VIPR1,3
CD209,3
TNFRSF13C,3
TNFRSF12A,3
CTSL,3
AQP3,3
TLE6,3
ADGRA2,3
TLE2,3
TPBG,3
TOB1,3
DKK2,3
SMOC2,3
RPS6KA6,3
TNFRSF18,3
PLAUR,3
RPS6KA4,2
ATP2A3,2
SLC7A8,2
EDA2R,2
SLC16A1,2
SLC2A4,2
IL1RAP,2
OAS2,2
FABP5,2
SLC13A3,2
SLC7A2,2
SLC1A4,2
CTLA4,2
SLC38A5,2
ERAP2,2
PAQR7,2
SLPI,2
ATP1B3,2
CLEC3B,2
S100A10,2
C1QTNF3,2
PRKG1,2
TAP1,2
BOC,2
TAP2,2
TAFA5,2
CDK5R1,2
SGCD,2
CNN1,2
FLRT3,2
ADA,2
S1PR1,2
DNAJA4,2
BMP8B,2
IRX3,2
C1QC,2
C1QB,2
PAQR8,2
S100A14,2
DENND2B,2
TXN,2
DOK2,2
DOK5,2
DOK6,2
ADRB2,2
P2RY1,2
KCNQ1,2
C2CD4B,2
ZFHX3,2
RYR2,2
DPF1,2
TNFSF9,2
FAS,2
PANX1,2
ANK2,2
CACNA1C,2
FCGR3A,2
NLGN3,2
C1QA,2
RAB39B,2
HMCN2,2
SNCG,2
CTSV,2
HSD17B2,2
ZNF675,2
TFPI,2
ARVCF,2
RHCG,2
DSP,2
IL27RA,2
IL17D,2
IL13RA2,2
